,apt_name,address
5485,하이,신당동 113-7
5493,프라임1,신당동 432-1632
5502,마이스터빌,신당동 407-7
5522,SY파크힐,만리동1가 56-11
5534,상지리츠빌장충동카일룸,장충동1가 104
5535,장충레지던스,장충동1가 106-1
5563,동평화패션타운,신당동 217-95
5573,롯데캐슬,황학동 2545
5575,브라운스톤(355-0),중림동 355
5579,충무,묵정동 11-2
5680,정동,정동 18-1
5706,뉴그린,신당동 67-129
5730,노블레스2,신당동 432-1653
5732,벨레어카운티,신당동 407-17
5830,약수넥스빌,신당동 377-26
5852,미주,필동3가 62-16
5924,양정,만리동2가 116-4
6093,삼익,예장동 9
6094,청계상가,산림동 207-1
6173,태원팰리스,신당동 413-4
6221,하니맨션,필동1가 51-11
6271,신신(1차),신당동 432-1972
6278,(432-904),신당동 432-904
6295,남산센트럴 자이,충무로4가 306
6301,신신(2차),신당동 432-1957
6357,글로리안(A),신당동 432-986
6442,남산트라팰리스,남대문로5가 827
6448,한진그랑빌,신당동 845
6481,초원,신당동 432-479
6486,남산FORESTHOUSE,신당동 432-1666
6839,푸른마을(432-921),신당동 432-921
6840,(372-66),신당동 372-66
6933,(217-96),신당동 217-96
6950,쌍용남산플래티넘,회현동2가 87
7020,황학동 코아루,황학동 882
7036,경서,남창동 205-44
7181,남산 SK LEADERS VIEW,회현동1가 206
7215,평화,회현동1가 97-2
7267,청구e편한세상,신당동 852
7290,남산 롯데캐슬 아이리스,회현동1가 208
7312,노블레스하우스,신당동 290-67
7331,황학아크로타워,황학동 2523
7373,LIG 서울역 리가,만리동1가 231
7462,래미안하이베르,신당동 851
7527,별장,회현동1가 147-20
8370,한양I-Class,황학동 787
8374,(1544-0),황학동 1544
8690,푸른마을(B),신당동 432-922
8741,코발트팰리스,오장동 90-24
9016,DUO302,황학동 819
9390,정동상림원,정동 15-6
9515,동대문 와이즈 캐슬,흥인동 119
9559,신당아르브,신당동 160-5
10163,청계천 두산위브더제니스,흥인동 13-1
10754,탑힐,신당동 313-8
11723,로얄,황학동 1005
11857,덕수궁롯데캐슬,순화동 217
12189,충무로엘크루메크로시티2,충무로5가 36-2
12193,신당역솔하임,신당동 140-23
12250,(1546-0),황학동 1546
12323,후암맨션,후암동 1-20
12324,세방리버하이빌,신창동 102
12326,한강타운,산천동 204
12329,리버힐삼성,산천동 193
12337,강변삼성스위트,원효로4가 178
12338,풍전,원효로4가 109-4
12339,한강수,원효로4가 128-1
12340,아이딜,효창동 130-2
12342,대성효창,효창동 5-258
12343,삼성래미안,도원동 23
12348,이안용산프리미어,문배동 3-3
12351,용산파크e-편한세상,한강로2가 417
12352,한강로대우아이빌,한강로2가 2-11
12353,시티파크(2단지),한강로3가 63-387
12354,이촌코오롱(A),이촌동 412
12355,한가람,이촌동 404
12357,이촌동삼성리버스위트,이촌동 426
12358,현대맨숀,이촌동 301-160
12362,한강맨숀,이촌동 300-23
12363,강촌,이촌동 402
12365,대림,이촌동 395
12367,한강(대우),이촌동 415
12374,왕궁,이촌동 300-11
12375,용산동아파트,이태원동 669
12377,한성1,한남동 29-4
12378,아일랜드캐슬,한남동 684-85
12379,한남동리첸시아,한남동 72-1
12380,뉴캐슬하우스,한남동 684-82
12382,리버탑,한남동 802
12383,태성1,한남동 644-2
12386,신동아,서빙고동 241-21
12392,신동아1,보광동 448
12394,주미,보광동 260-6
12396,후암미주,후암동 423-1
12397,동자,동자동 19-8
12408,산호,원효로4가 118-16
12410,효창베네스,효창동 272
12411,효창로즈,효창동 3-4
12415,도원,도원동 3-7
12420,삼성하이츠,용문동 38-76
12421,이안용산1차(102동),문배동 7-6
12422,대우월드마크용산,한강로1가 64
12425,우림필유,한강로3가 91
12429,동부센트레빌,이촌동 418
12435,LG한강자이,이촌동 430
12447,빌라맨션,이촌동 302-86
12448,남산대림,이태원동 729
12450,주공1,이태원동 728
12453,힐탑트레져1동,한남동 1-44
12454,리버티하우스,한남동 258
12458,한남힐스테이트,한남동 807
12459,시범,한남동 1-349
12462,성아1,한남동 263-10
12464,금호베스트빌1,서빙고동 296
